session,t_ros,x,y,z,yaw_deg,nearest_dense_wp,nearest_distance_m
210339_wrong_localization,1786795437.229918480,-4.951717,-3.586566,-0.094587,12.749,11,2.1505
210339_wrong_localization,1786795437.328529596,-4.953176,-3.583418,-0.094463,12.743,11,2.1471
210339_wrong_localization,1786795437.428085804,-4.952490,-3.586472,-0.096229,12.754,11,2.1501
210339_wrong_localization,1786795437.528339624,-4.955320,-3.592213,-0.095948,12.739,10,2.1533
210339_wrong_localization,1786795437.629778862,-4.949192,-3.588225,-0.097812,12.758,11,2.1532
210339_wrong_localization,1786795437.728541613,-4.951857,-3.594360,-0.097077,12.779,10,2.1570
210339_wrong_localization,1786795437.828476191,-4.952593,-3.595442,-0.095227,12.748,10,2.1575
210339_wrong_localization,1786795437.928518772,-4.951969,-3.590519,-0.096133,12.759,10,2.1538
210339_wrong_localization,1786795438.028115034,-4.952689,-3.586570,-0.098275,12.751,11,2.1500
210339_wrong_localization,1786795438.128395796,-4.953095,-3.586334,-0.099099,12.748,11,2.1496
210339_wrong_localization,1786795438.227993965,-4.951795,-3.586520,-0.098338,12.751,11,2.1504
210339_wrong_localization,1786795438.328670502,-4.950653,-3.585876,-0.098619,12.750,11,2.1505
210339_wrong_localization,1786795438.428647518,-4.950385,-3.586487,-0.099408,12.733,11,2.1511
210339_wrong_localization,1786795438.528340578,-4.952463,-3.590257,-0.098887,12.750,10,2.1533
210339_wrong_localization,1786795438.628556490,-4.955143,-3.591718,-0.097862,12.761,10,2.1530
210339_wrong_localization,1786795438.729662418,-4.954731,-3.594387,-0.097122,12.773,10,2.1554
210339_wrong_localization,1786795438.828449011,-4.956443,-3.593618,-0.096455,12.720,10,2.1538
210339_wrong_localization,1786795438.929561615,-4.956405,-3.594883,-0.095572,12.745,10,2.1548
210339_wrong_localization,1786795439.030301809,-4.954928,-3.597334,-0.095711,12.749,10,2.1577
210339_wrong_localization,1786795439.128978491,-4.953327,-3.593220,-0.096217,12.761,10,2.1552
210339_wrong_localization,1786795439.228455782,-4.954455,-3.588053,-0.096269,12.766,10,2.1503
210339_wrong_localization,1786795439.330374002,-4.952540,-3.586581,-0.095694,12.737,11,2.1501
210339_wrong_localization,1786795439.428689718,-4.950945,-3.591073,-0.097259,12.770,11,2.1548
210339_wrong_localization,1786795439.528769493,-4.950466,-3.595955,-0.097742,12.785,10,2.1591
210339_wrong_localization,1786795439.630574226,-4.951737,-3.596257,-0.095188,12.811,10,2.1586
