session,t_ros,topic,linear_x,angular_z
210339_wrong_localization,1786795421.629657745,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.643603802,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795421.649430037,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.651223183,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.669514179,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.689317942,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.709367990,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.717892885,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.729604483,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.743722916,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795421.749532461,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.769354582,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.784592628,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.789369106,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.809342384,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.829515696,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.843583345,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795421.849379301,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.851228476,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.869404078,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.889305592,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.909323454,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.917979002,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.929553032,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.943590879,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795421.949435472,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.969380856,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.984582663,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.989462614,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.009380579,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.029428482,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.043667078,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795422.049438000,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.051193237,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.069331884,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.089317322,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.109325409,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.117922068,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.129534006,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.143683672,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795422.149504900,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.169416428,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.184721470,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.189412594,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.209368467,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.229491234,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.243607759,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795422.249413729,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.251243114,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.269349575,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.289355755,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.309378862,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.317912340,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.329602480,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.343619347,/cmd_vel_raw,0.000000,0.000000
