session,t_ros,state,level,reason,fitness,inlier_ratio,prediction_translation_m,prediction_rotation_rad,consistent_candidate_count,registration_backend,reset_count,map_id
210339_wrong_localization,1786795527.641483068,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795528.738204241,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795529.742386341,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795530.843791485,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795531.940518379,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795532.940771103,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795533.939576626,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795535.040226936,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795536.140139103,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795537.240093231,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795538.341315985,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795539.342585325,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795540.436650991,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795541.443732738,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795542.540597677,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795543.639601469,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795544.639546871,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795545.643089294,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795546.639429808,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795547.738334179,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795548.841471434,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795549.837719679,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795550.937371492,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795551.939098835,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795552.942285538,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795554.038470030,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795555.139994621,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795556.136126995,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795557.239454508,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795558.344712973,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795559.340117216,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795560.341323376,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795561.340121984,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795562.436598778,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
